Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Decade,Sales_Category,NA_EU_Sales_Ratio,Is_Nintendo_Publisher,Log_Global_Sales,Dominant_Region
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,2010,High,1.093582887700535,0,2.359910159613315,India
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,2010,High,2.013793103448276,0,2.353278207309564,India
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,1990,High,1.131195335276968,0,2.350422422408206,India
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,2000,High,2.472803347280335,0,2.334083760053417,India
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,0.26516202676136724,1.71,3.0,0.23,9.3,1990,High,2.534883720930233,1,2.33214389523559,India
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2010,High,1.964788732394366,0,2.322387720290225,India
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,2010,High,0.8626609442060086,1,2.311544834365518,JP
75,Mario Party DS,DS,2007,Misc,Unknown,0.26516202676136724,1.88,1.98,0.7,9.02,2000,High,2.35978835978836,1,2.304583095656719,India
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2010,High,1.752613240418119,0,2.286455711064162,India
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,1990,High,2.832,1,2.278292400425001,JP
78,FIFA 16,PS4,2015,Sports,Unknown,1.11,6.06,0.06,1.26,8.49,2010,High,0.1828665568369028,0,2.250238612621836,EU
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,2010,High,0.5056497175141244,1,2.250238612621836,EU
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,2000,High,4.428571428571429,0,2.250238612621836,India
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,2000,High,1.64935064935065,1,2.242835088588272,India
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,2010,High,1.556149732620321,1,2.233235014859253,JP
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,2010,High,0.2094861660079051,0,2.223541885653593,EU
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,2000,High,0.1524105754276827,0,2.209372711271867,EU
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,0.17,1990,High,2.871287128712872,1,2.207174908189387,India
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,2000,High,0.659846547314578,0,2.203869120054888,EU
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,2000,High,1.399038461538462,0,2.202764757711835,India
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,1990,High,1.317919075144509,0,2.18154676461699,JP
89,Pokémon Platinum Version,DS,2007,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,0.17,2000,High,1.575418994413408,1,2.179286876649552,India
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1980,High,15.82608695652174,0,2.175887439948088,India
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,2000,High,1.02112676056338,0,2.165619237920888,India
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,2010,High,1.506172839506173,1,2.162172939277301,India
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,2010,High,0.8878787878787879,0,2.159868790792451,EU
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,2010,High,0.8459214501510575,0,2.151762203259462,EU
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,1990,High,2.157894736842105,1,2.151762203259462,India
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,1990,High,1.73394495412844,0,2.149433913499871,India
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1980,High,4.529411764705882,1,2.135349173618132,India
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,2010,High,2.382352941176471,1,2.134166441369082,India
99,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,2000,High,2.507853403141361,0,2.124653884501384,India
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,2010,High,2.08411214953271,0,2.121063216370655,India
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Unknown,3.83,2.19,0.6,0.7,7.31,2000,High,1.740909090909091,1,2.117459608867357,India
102,Call of Duty: Black Ops 3,XOne,2007,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,2000,High,2.152380952380953,0,2.116255514802552,India
103,Just Dance,Wii,2007,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,2000,High,1.154605263157895,0,2.1126345090356,India
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,2010,High,0.9693877551020408,0,2.107786014688978,EU
105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,2000,High,1.151408450704226,0,2.104134154270207,India
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,0.17,1990,High,1.466367713004484,0,2.099244168976016,India
107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,1990,High,2.090909090909091,0,2.095560923559719,India
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,2000,High,4.2,1,2.088153482281857,India
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,2010,High,1.504807692307692,1,2.074428999856292,India
110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,2010,High,0.7816455696202533,0,2.074428999856292,EU
111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,2000,High,2.314606741573034,1,2.073171928666241,India
112,Just Dance 4,Wii,2012,Misc,Unknown,4.14,2.21,0.0,0.56,6.91,2010,High,1.864864864864865,0,2.068127781779562,India
113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,2010,High,0.1801385681293302,0,2.066862759472976,EU
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,2000,High,0.8943894389438944,0,2.066862759472976,EU
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,2000,High,1.061594202898551,0,2.057962510002711,India
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,0.26516202676136724,2.8,0.19,1.06,6.83,2010,High,0.9857651245551604,0,2.057962510002711,EU
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,0.17,1990,High,1.36864406779661,0,2.05668455455722,India
118,Zumba Fitness,Wii,2010,Fighting,505 Games,3.5,2.64,0.0,0.67,6.81,2010,High,1.320754716981132,0,2.055404963851594,India
119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,0.26516202676136724,1.92,0.06,0.64,6.76,2000,High,2.150259067357513,0,2.048982334195127,India
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,2000,High,1.446902654867257,0,2.045108862599331,India
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,2000,High,1.341991341991342,0,2.043814364036685,India
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,2010,High,0.1939953810623556,0,2.039920783517553,EU
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,2000,High,0.5985663082437277,1,2.037316615379165,EU
124,Red Dead Redemption,PS3,2007,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,2000,High,1.064885496183206,0,2.028148247292285,India
125,FIFA 15,PS4,2014,Sports,Unknown,0.79,4.29,0.05,1.47,6.59,2010,High,0.1837209302325581,0,2.026831591407539,EU
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,2010,High,1.756756756756757,1,2.026831591407539,India
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,2010,High,0.9375,0,2.022871190191442,EU
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,1980,High,3.978723404255319,1,2.016235465776043,India
129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,0.17,2010,High,1.027237354085603,0,2.014903020542265,India
130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,2000,High,3.801526717557252,0,2.005525858729668,India
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,2000,High,1.616352201257861,1,2.002830439307996,India
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,-6.4,2000,High,3.008264462809917,0,2.001480000210124,India
133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,2000,High,1.624203821656051,1,2.00012773496011,India
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,2000,High,3.191176470588235,0,1.996059932740785,India
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,2010,High,1.868686868686869,0,1.993338842626424,India
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,2000,High,3.15748031496063,1,1.989243273761687,India
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,1990,High,2.940476190476191,0,1.987874348154345,JP
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,2000,High,0.0112540192926045,0,1.985130862208594,EU
139,Driver,PS,1999,Fighting,GT Interactive,3.11,2.8,0.02,0.33,6.27,1990,High,1.106761565836299,0,1.983756291545428,India
140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,2010,High,2.189944134078212,0,1.979621206397625,India
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,2010,High,2.484662576687116,0,1.979621206397625,India
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,2000,High,1.853403141361257,0,1.961502243815149,India
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,2000,High,1.212871287128713,0,1.953027616824177,India
144,Sonic the Hedgehog 2,GEN,1992,Platform,Unknown,4.47,1.2,0.16,0.19,6.03,1990,High,3.694214876033058,0,1.950186705822573,India
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Unknown,2.63,1.74,0.83,0.83,6.03,2000,High,1.502857142857143,0,1.950186705822573,India
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,1990,High,1.728260869565217,0,1.950186705822573,India
147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,2010,High,1.052401746724891,0,1.944480556245719,India
148,Final Fantasy XII,PS2,2006,Role-Playing,Unknown,1.88,0.0,2.33,1.74,5.95,2000,High,188.0,0,1.938741659576701,JP
149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,2000,High,1.359223300970874,0,1.934415769629578,India
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2007,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,2000,High,0.942857142857143,1,1.922787731634459,JP
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,2000,High,2.231707317073171,0,1.921324673582698,India
152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,1990,High,1.27027027027027,0,1.919859471855371,JP
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,0.26516202676136724,1.89,1.36,0.23,5.74,1990,High,1.189473684210526,0,1.908059924924216,India
154,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,2000,High,1.605128205128205,0,1.905088154535058,India
155,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,2010,High,1.20873786407767,0,1.894616854667763,India
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,1980,High,4.242857142857144,1,1.884034745337226,India
157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,2000,High,1.295918367346939,0,1.882513832496519,India
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,1990,High,4.836065573770492,1,1.87946504964716,India
159,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,0.17,2000,High,1.975903614457831,0,1.87946504964716,India
160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,2010,High,1.40625,0,1.87640694328834,India
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,2000,High,1.549222797927461,0,1.873339456220478,India
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,2000,High,0.810344827586207,0,1.871802176901592,JP
163,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,2000,High,2.512,1,1.870262530715998,India
164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,2000,High,1.587878787878788,1,1.867176108512809,India
165,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,2000,High,2.866071428571428,1,1.86562931779451,India
166,Pokemon Stadium,N64,1999,Fighting,Nintendo,3.18,1.24,0.94,0.09,5.45,1990,High,2.544,1,1.864080130807681,India
167,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,2000,High,1.446808510638298,0,1.860974538249528,India
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Unknown,2.07,2.29,0.24,0.82,5.42,2000,High,0.9,0,1.85941811770187,EU
169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,2010,High,0.7817460317460319,0,1.85941811770187,EU
170,Final Fantasy XIII,PS3,2007,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,2000,High,1.392,0,1.850028377352031,JP
171,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,1980,High,2.247422680412371,1,1.846878768449134,India
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,1990,High,2.672566371681416,1,1.842135676553122,India
173,Assassin's Creed III,X360,2012,Action,Unknown,0.26516202676136724,1.71,0.03,0.44,5.3,2010,High,1.819767441860465,0,1.840549633397487,India
